               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,             0.07479,             0.04339,           0.0035034,             0.33991,             0.81583,             0.42799,            0.099557,            0.072731,            0.039063,           0.0019016,           0.0015898,           0.0015898,             0.08569
                  80,            0.071765,            0.037321,           0.0023689,             0.37692,             0.63162,             0.42963,             0.14057,            0.074103,             0.03371,           0.0019459,           0.0016098,           0.0016098,             0.08551
                  81,            0.077209,            0.038697,           0.0031157,             0.44036,             0.88373,             0.50581,             0.14487,            0.066207,            0.034819,           0.0019303,           0.0016298,           0.0016298,             0.08533
                  82,            0.077413,            0.037963,           0.0026085,             0.43303,             0.69748,             0.45108,             0.11346,            0.084036,            0.034634,            0.001906,           0.0016498,           0.0016498,             0.08515
                  83,            0.082313,            0.037075,           0.0029055,             0.52517,             0.65319,             0.53775,              0.1454,            0.075354,            0.031483,           0.0020097,           0.0016697,           0.0016697,             0.08497
                  84,             0.07629,            0.032713,           0.0027067,              0.6236,             0.68557,             0.63066,             0.22276,            0.070542,            0.033749,           0.0021419,           0.0016897,           0.0016897,             0.08479
                  85,            0.072094,            0.038858,           0.0029849,             0.61985,             0.73915,             0.71094,             0.23094,            0.059271,            0.035905,           0.0020981,           0.0017097,           0.0017097,             0.08461
                  86,            0.066979,            0.039942,           0.0033483,             0.34769,             0.76142,             0.39867,             0.13336,            0.068461,            0.035075,           0.0019904,           0.0017297,           0.0017297,             0.08443
                  87,            0.071169,            0.035292,           0.0021588,             0.36761,             0.59856,             0.45885,             0.12476,            0.068082,            0.032937,           0.0019179,           0.0017497,           0.0017497,             0.08425
                  88,            0.072612,            0.035701,           0.0032148,             0.49653,             0.77118,             0.51351,             0.14987,            0.065783,             0.03522,           0.0019159,           0.0017697,           0.0017697,             0.08407
                  89,            0.073453,            0.035208,             0.00257,              0.4725,             0.44341,             0.48627,             0.30504,            0.082652,            0.027711,           0.0017874,           0.0017897,           0.0017897,             0.08389
                  90,              0.0831,            0.034112,           0.0028367,             0.28116,             0.57102,             0.29507,             0.10437,            0.078415,            0.028729,           0.0019492,           0.0018097,           0.0018097,             0.08371
                  91,            0.075341,            0.034224,           0.0028332,              0.4634,             0.82143,             0.59953,              0.1651,            0.067982,             0.03412,           0.0019813,           0.0018297,           0.0018297,             0.08353
                  92,            0.068767,            0.040208,           0.0022656,              0.4943,             0.86012,              0.5766,             0.21986,            0.055903,            0.035705,           0.0018803,           0.0018497,           0.0018497,             0.08335
                  93,            0.066447,            0.035593,           0.0022147,             0.67026,             0.84203,              0.7694,             0.33244,            0.064557,            0.033433,           0.0018114,           0.0018696,           0.0018696,             0.08317
                  94,             0.07491,            0.035814,           0.0031602,             0.38398,             0.45903,             0.46147,             0.17618,            0.079501,            0.030387,           0.0018505,           0.0018896,           0.0018896,             0.08299
                  95,            0.076236,            0.033176,           0.0020026,             0.49196,             0.76488,             0.60785,             0.18006,            0.067434,            0.032037,           0.0019817,           0.0019096,           0.0019096,             0.08281
                  96,            0.067492,            0.036164,            0.002485,             0.61732,             0.84098,             0.69113,             0.27193,            0.059668,            0.037732,           0.0019697,           0.0019296,           0.0019296,             0.08263
                  97,            0.067561,            0.036899,           0.0025804,             0.37612,             0.73214,             0.38158,              0.1207,            0.065923,            0.034236,           0.0018513,           0.0019496,           0.0019496,             0.08245
                  98,             0.06917,             0.03468,           0.0020982,             0.66196,             0.76296,             0.67102,             0.22007,            0.070266,            0.029625,           0.0017441,           0.0019696,           0.0019696,             0.08227
                  99,            0.071077,            0.035712,           0.0026388,             0.40105,             0.61607,             0.39961,             0.10292,            0.070925,            0.030037,           0.0017602,           0.0019896,           0.0019896,             0.08209
                 100,            0.078286,            0.033281,           0.0019746,             0.36253,             0.63463,             0.43165,             0.11803,             0.07082,            0.031715,           0.0017252,           0.0020096,           0.0020096,             0.08191
                 101,            0.076772,            0.031555,           0.0021803,             0.43655,             0.63691,             0.45294,              0.1224,            0.083204,            0.028602,           0.0018745,           0.0020295,           0.0020295,             0.08173
                 102,            0.080958,            0.033615,           0.0023199,             0.42662,             0.60119,             0.53978,             0.23947,             0.07332,            0.033735,            0.001928,           0.0020495,           0.0020495,             0.08155
                 103,            0.074549,            0.031995,           0.0022783,             0.46409,             0.71429,             0.49282,             0.16059,            0.072293,            0.033623,           0.0018704,           0.0020695,           0.0020695,             0.08137
                 104,            0.070809,            0.033317,           0.0025594,             0.65283,             0.69223,             0.63621,              0.3299,             0.05875,            0.033055,           0.0018474,           0.0020895,           0.0020895,            0.081189
                 105,            0.067354,            0.037217,           0.0024945,             0.44045,             0.55945,              0.4666,             0.14679,             0.07609,             0.03121,           0.0018317,           0.0021095,           0.0021095,            0.081009
                 106,              0.0729,            0.034083,           0.0024996,             0.66333,             0.82719,             0.78033,             0.37789,            0.065088,            0.032097,            0.001854,           0.0021295,           0.0021295,            0.080829
                 107,             0.06818,            0.031791,           0.0022961,             0.43233,             0.66474,             0.42009,             0.10217,             0.07068,            0.030883,           0.0018503,           0.0021495,           0.0021495,            0.080649
                 108,            0.063787,            0.035731,           0.0026987,             0.68495,             0.81481,             0.74453,             0.27667,            0.053148,            0.034169,            0.001844,           0.0021694,           0.0021694,            0.080469
                 109,            0.062627,            0.036452,            0.002462,             0.46591,             0.82738,             0.45638,             0.14421,            0.069875,            0.033139,           0.0017161,           0.0021894,           0.0021894,            0.080289
                 110,             0.07386,            0.032419,           0.0023141,             0.38606,             0.58543,             0.39058,             0.11522,            0.071764,            0.028615,           0.0017201,           0.0022094,           0.0022094,            0.080109
                 111,            0.074846,            0.030945,           0.0025239,             0.66408,             0.59261,             0.64184,             0.34061,            0.071835,            0.027916,           0.0017536,           0.0022294,           0.0022294,            0.079929
                 112,            0.078646,            0.032762,           0.0020783,              0.3489,              0.5688,             0.39778,             0.13518,            0.081536,            0.026221,           0.0016796,           0.0022494,           0.0022494,            0.079749
                 113,            0.074907,            0.034413,           0.0024538,             0.53737,             0.88908,             0.58554,             0.17565,            0.068301,            0.027466,           0.0017336,           0.0022694,           0.0022694,            0.079569
                 114,            0.074201,            0.029648,           0.0020372,             0.39592,             0.59296,             0.37741,              0.0999,            0.081972,             0.02814,           0.0017165,           0.0022893,           0.0022893,            0.079389
                 115,            0.073735,            0.030908,           0.0019638,             0.79412,             0.84594,             0.83358,             0.36921,            0.059843,            0.029624,           0.0017938,           0.0023093,           0.0023093,            0.079209
                 116,            0.071739,            0.035435,           0.0023406,             0.40149,             0.48288,             0.36972,             0.10963,            0.081618,             0.03265,           0.0016558,           0.0023293,           0.0023293,            0.079029
                 117,            0.070404,            0.035465,           0.0027629,             0.83236,             0.84265,             0.84611,             0.30315,            0.053525,            0.035631,           0.0017765,           0.0023493,           0.0023493,            0.078849
                 118,             0.06139,            0.034615,           0.0018622,             0.57918,             0.92549,             0.72471,             0.24617,            0.064415,            0.031481,           0.0017257,           0.0023693,           0.0023693,            0.078669
                 119,            0.066312,            0.036828,           0.0022724,             0.59073,             0.75998,             0.58864,             0.15273,            0.065142,            0.032629,           0.0017167,           0.0023892,           0.0023892,            0.078489
                 120,            0.072547,            0.029799,           0.0025088,             0.38498,             0.61838,              0.4596,             0.16488,            0.069277,            0.029918,           0.0017448,           0.0024092,           0.0024092,            0.078309
                 121,            0.074833,            0.033164,            0.002227,              0.7041,             0.45737,             0.50908,             0.17162,            0.080207,            0.029181,           0.0018219,           0.0024292,           0.0024292,            0.078129
                 122,            0.067726,            0.039184,           0.0024396,             0.63776,             0.83333,             0.66828,              0.2707,             0.05421,            0.034295,           0.0018005,           0.0024492,           0.0024492,            0.077949
                 123,            0.058213,            0.039032,           0.0024539,             0.68993,               0.802,               0.713,             0.22042,            0.052466,            0.034508,           0.0016233,           0.0024692,           0.0024692,            0.077769
                 124,             0.05835,            0.039216,           0.0020791,             0.52206,             0.87833,             0.54153,             0.20635,            0.069007,            0.034092,           0.0015146,           0.0024891,           0.0024891,            0.077589
                 125,            0.068932,            0.038062,           0.0022356,              0.6125,             0.79797,              0.6734,             0.26387,            0.071284,            0.030125,           0.0016489,           0.0025091,           0.0025091,            0.077409
                 126,            0.067494,            0.033948,           0.0023961,             0.61223,             0.79587,             0.68195,             0.22288,            0.056179,            0.031939,           0.0017165,           0.0025291,           0.0025291,            0.077229
                 127,            0.064947,            0.035729,           0.0021074,             0.38476,             0.64583,             0.39671,             0.10476,            0.081887,            0.031101,           0.0015605,           0.0025491,           0.0025491,            0.077049
                 128,            0.072756,            0.029074,           0.0020315,             0.59776,             0.72356,             0.65586,             0.35433,            0.060016,            0.029687,           0.0016907,           0.0025691,           0.0025691,            0.076869
                 129,            0.067155,            0.032709,           0.0020907,             0.28159,             0.68452,             0.31319,            0.077439,            0.073792,            0.028362,           0.0017697,            0.002589,            0.002589,            0.076689
                 130,            0.068052,            0.038375,           0.0025234,             0.65985,             0.79499,             0.72695,             0.21519,            0.061698,            0.033012,           0.0017469,            0.002609,            0.002609,            0.076509
                 131,            0.063551,            0.037737,           0.0018958,             0.60763,             0.87469,             0.69097,              0.2514,            0.060528,            0.032776,           0.0016971,            0.002629,            0.002629,            0.076329
                 132,            0.062845,            0.034906,           0.0020221,             0.55923,             0.75368,              0.5962,             0.25174,            0.059422,             0.03238,           0.0016693,            0.002649,            0.002649,            0.076149
                 133,            0.062052,            0.034695,           0.0020038,             0.53752,             0.63953,             0.62396,             0.35441,            0.067842,            0.030692,           0.0017318,            0.002669,            0.002669,            0.075969
                 134,            0.061654,            0.036141,            0.002137,             0.53446,             0.85373,             0.64967,             0.25797,            0.051876,            0.031987,           0.0016995,           0.0026889,           0.0026889,            0.075789
                 135,            0.060087,            0.035479,           0.0021973,             0.82283,             0.83368,             0.82946,             0.41838,            0.066693,            0.029382,           0.0016271,           0.0027089,           0.0027089,            0.075609
                 136,            0.059772,            0.031154,           0.0021274,             0.80149,             0.75035,             0.76264,             0.35654,            0.052626,            0.030858,           0.0016325,           0.0027289,           0.0027289,            0.075429
                 137,            0.058297,            0.034553,           0.0021356,             0.65732,             0.90214,             0.79261,              0.2086,            0.059712,            0.031365,           0.0016018,           0.0027489,           0.0027489,            0.075249
                 138,            0.062032,            0.035481,           0.0019599,             0.31669,             0.76786,             0.32736,             0.11984,            0.069216,            0.033967,           0.0016176,           0.0027688,           0.0027688,            0.075069
                 139,            0.068845,            0.034047,           0.0021995,             0.37948,             0.83049,              0.4718,             0.12403,            0.066251,            0.030644,           0.0017761,           0.0027888,           0.0027888,            0.074889
                 140,            0.063575,            0.036267,           0.0020333,             0.42861,             0.74737,             0.53704,             0.23313,              0.0679,            0.031472,           0.0016516,           0.0028088,           0.0028088,            0.074709
                 141,            0.067487,            0.034801,           0.0020323,             0.60729,             0.89698,             0.67205,             0.20638,            0.061984,            0.031499,           0.0016255,           0.0028288,           0.0028288,            0.074529
                 142,            0.067655,            0.031926,           0.0019606,             0.54038,             0.72654,             0.58239,             0.19678,            0.071134,            0.029546,           0.0015758,           0.0028487,           0.0028487,            0.074349
                 143,            0.073893,            0.034141,           0.0024164,             0.56235,             0.54761,             0.55331,             0.27631,            0.080054,            0.026532,           0.0017569,           0.0028687,           0.0028687,            0.074169
                 144,            0.072009,            0.031556,           0.0024706,             0.81283,             0.87355,             0.89935,             0.50681,            0.060174,            0.029302,           0.0017575,           0.0028887,           0.0028887,            0.073989
                 145,            0.062255,            0.035457,           0.0022014,             0.47947,             0.71008,             0.51374,             0.10257,            0.068726,            0.031673,           0.0016984,           0.0029086,           0.0029086,            0.073809
                 146,            0.065862,            0.034783,           0.0021242,             0.59453,             0.82213,             0.73654,             0.38621,            0.059842,            0.032514,           0.0016294,           0.0029286,           0.0029286,            0.073629
                 147,            0.059546,            0.032776,           0.0021364,             0.70746,             0.84261,             0.78708,             0.17458,            0.058415,            0.032013,           0.0017115,           0.0029486,           0.0029486,            0.073449
                 148,            0.057017,            0.033369,           0.0023094,             0.72477,             0.87253,             0.82803,             0.35493,            0.049371,            0.030723,           0.0015283,           0.0029686,           0.0029686,            0.073269
                 149,            0.060725,            0.028657,           0.0021077,             0.52201,             0.65795,             0.56884,             0.18545,            0.068025,            0.028887,           0.0015331,           0.0029885,           0.0029885,            0.073089
                 150,            0.064319,            0.033583,            0.001944,             0.65323,              0.6934,             0.66818,             0.21706,            0.059159,            0.029561,           0.0014844,           0.0030085,           0.0030085,            0.072908
                 151,            0.070957,             0.02856,           0.0016224,             0.68184,             0.87489,             0.77145,             0.33746,            0.060002,            0.029002,           0.0016538,           0.0030285,           0.0030285,            0.072728
                 152,            0.060879,            0.036914,           0.0021536,             0.47404,             0.81057,             0.48395,             0.19226,            0.067452,             0.03121,           0.0015837,           0.0030484,           0.0030484,            0.072548
